feature,importance
Area Locality_Behala Chowrasta,0.0
Area Locality_Behala silpara,0.0
Area Locality_Belgharia,0.0
Area Locality_Belgharia Nimta,0.0
Area Locality_Beliaghata,0.0
"Area Locality_Benchmark Solus, Waterfield Road",0.0
Area Locality_Benia Pukur,0.0
Area Locality_Benson Town,0.0
"Area Locality_Benzer Tower, Thakur Complex",0.0
Area Locality_Besant Nagar,0.0
Area Locality_Best Nagar Goregaon West,0.0
Area Locality_Bettadasanapura,0.0
Area Locality_Beverly Park,0.0
Area Locality_Bhadrakali,0.0
Area Locality_Bhagwati Garden,0.0
"Area Locality_Bhairav Residency, Mira Road",0.0
Area Locality_Bhajanpura,0.0
Area Locality_Bhakti Park,0.0
"Area Locality_Bhakti Park, Bhakti Park",0.0
Area Locality_Bhalswa,0.0
Area Locality_Bhandup,0.0
Area Locality_Bhandup Village,0.0
Area Locality_Bhandup West,0.0
"Area Locality_Bharath Nagar, Porur",0.0
Area Locality_Bhattarahalli,0.0
Area Locality_Bhatti Pada,0.0
Area Locality_Bhawanipur,0.0
Area Locality_Bhayandar East,0.0
"Area Locality_Bhel Layout, Rajarajeshwari Nagar",0.0
"Area Locality_Bhogal, Jangpura",0.0
"Area Locality_Bhoomi Elegant, Thakur Complex",0.0
Area Locality_Bhuvaneswari Nagar,0.0
Area Locality_Bijwasan,0.0
"Area Locality_Bikasipura, kanakapura Road",0.0
Area Locality_Bilal Nagar-Sagayapura,0.0
Area Locality_Bilekahalli,0.0
Area Locality_Bindapur,0.0
"Area Locality_Bindra Complex , Andheri East",0.0
"Area Locality_Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",0.0
Area Locality_Bisharpara,0.0
"Area Locality_Blue Monarch, Marol",0.0
"Area Locality_Bohra Layout, Gottigere, bannerghatta main Road",0.0
"Area Locality_Bollaram, Outer Ring Road",0.0
"Area Locality_Bombay Dyeing Two ICC, Dadar East",0.0
Area Locality_Bommasandra,0.0
Area Locality_Bonhooghly,0.0
Area Locality_Borabanda,0.0
Area Locality_Borivali West,0.0
Area Locality_Bow Bazar,0.0
Area Locality_Bowenpally,0.0
Area Locality_Brahmapur,0.0
"Area Locality_Btm Layout Stage 2, BTM Layout",0.0
"Area Locality_Buddha Nagar Colony, Boduppal",0.0
Area Locality_Budwel,0.0
"Area Locality_Bunder Garden, Perambur",0.0
Area Locality_Burari,0.0
Area Locality_Byculla West,0.0
"Area Locality_Bydara Halli, Benson Town",0.0
Area Locality_Byrathi,0.0
Area Locality_C V Raman Nagar,0.0
Area Locality_C.R.R. Puram L&T Colony,0.0
Area Locality_CA 150 sector 1 saltlake,0.0
Area Locality_CIT Nagar,0.0
Area Locality_CV Raman Nagar,0.0
Area Locality_Camp Road,0.0
Area Locality_Carter Road,0.0
Area Locality_Central Area,0.0
Area Locality_Central Avenue Road,0.0
Area Locality_Century Bazaar,0.0
Area Locality_Cghs apts.,0.0
"Area Locality_Chaitanya Towers, Prabhadevi",0.0
Area Locality_Chakala,0.0
Area Locality_Chakala Cigarette Factory,0.0
"Area Locality_Challenger Tower, Thakur Village, Kandivali East",0.0
Area Locality_Chamrajpet,0.0
"Area Locality_Chamundeshwari Layout, Arakere",0.0
"Area Locality_Chamundi Nagar, Rajajinagar",0.0
"Area Locality_Chanakya Place, Sitapuri",0.0
Area Locality_Chanchalguda,0.0
"Area Locality_Chanda Naik Nagar, Madhapur",0.0
"Area Locality_Chandanagar, NH 9",0.0
"Area Locality_Chandannagar, Hooghly-Chinsurah",0.0
Area Locality_Chandapura,0.0
Area Locality_Chandrayanguttabalguda,0.0
Area Locality_Charkop Sector 6,0.0
Area Locality_Chattarpur Extension,0.0
"Area Locality_Chelekare, Kalyan Nagar, Outer Ring Road",0.0
Area Locality_Chembarambakkam,0.0
Area Locality_Chembur East,0.0
"Area Locality_Chembur Heights, Sindhi Society Chembur",0.0
Area Locality_Chennai,0.0
"Area Locality_Chetpet, PH Road",0.0
"Area Locality_Chhattarpur Enclave Phase1, Chhattarpur",0.0
"Area Locality_Chikbasavnapura, Krishnarajapura",0.0
Area Locality_Chikkabanavara,0.0
Area Locality_Chikkalasandra,0.0
"Area Locality_Chikkalasandra, Bangalore",0.0
"Area Locality_Chikkana Layout, Kammanahalli",0.0
Area Locality_Chikuwadi,0.0
Area Locality_Chilakalguda,0.0
"Area Locality_Chinar Park, Rajarhat",0.0
Area Locality_Chinna Porur,0.0
Area Locality_Chintadripet,0.0
Area Locality_Chintalakunta,0.0
Area Locality_Chirag Delhi,0.0
Area Locality_Chirag Nagar,0.0
"Area Locality_Chitra Vihar, Swasthya Vihar",0.0
Area Locality_Chittaranjan Park,0.0
Area Locality_Chittaranjan Park Block K,0.0
Area Locality_Choodasandra,0.0
"Area Locality_Chowdeshwari Layout, Yelahanka",0.0
"Area Locality_Cleveland Town, Frazer Town",0.0
"Area Locality_Coffee Board Layout, Nagavara",0.0
Area Locality_Collector Colony,0.0
"Area Locality_Conwood Astoria, Film City Road",0.0
"Area Locality_Conwood Astoria, Goregaon East",0.0
"Area Locality_Cooke Town, Cooke Town",0.0
Area Locality_Cox Town,0.0
"Area Locality_Crescent Bay Callisto, Parel",0.0
"Area Locality_Crescent Bay T3, Bhoiwada",0.0
"Area Locality_Crescent Solitaire, Sakinaka Junction",0.0
Area Locality_Cuffe Parade,0.0
"Area Locality_DB Ozone, Mira Road",0.0
"Area Locality_DB Woods, Gokuldham",0.0
"Area Locality_DDA Akshardham Apartments, DS 19",0.0
"Area Locality_DDA Flat AD Block, Shalimar Bagh AD Block",0.0
"Area Locality_DDA Flats Block B3, Keshav Puram, Tri Nagar",0.0
"Area Locality_DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",0.0
"Area Locality_DJA Apartments, Dwarka Sector 13",0.0
"Area Locality_DLH Orchid, Andheri West",0.0
"Area Locality_DLH Orchid, Lokhandwala Complex",0.0
Area Locality_Dadar East,0.0
Area Locality_Dadar West,0.0
Area Locality_Dakshineswar,0.0
Area Locality_Dakshini Pitampura,0.0
Area Locality_Dariya,0.0
"Area Locality_Dash Drone, Rajarhat Newtown",0.0
Area Locality_Dashadron Newtown Rajarhat,0.0
Area Locality_Dashdrone,0.0
Area Locality_Dasnagar,0.0
Area Locality_Datta Pada,0.0
Area Locality_Dattani Park,0.0
"Area Locality_Dayanand Vihar, Anand Vihar",0.0
"Area Locality_Deep Heights, Nalasopara",0.0
Area Locality_Deepa Appartment Turnbulls,0.0
Area Locality_Deepthisri nagar colony,0.0
Area Locality_Defence Colony Layout,0.0
Area Locality_Dellapur,0.0
Area Locality_Deonar,0.0
"Area Locality_Devi Karumariamman Nagar, Velachery",0.0
Area Locality_Devi Pada,0.0
"Area Locality_Devli, Sangam Vihar",0.0
Area Locality_Dhakuria,0.0
Area Locality_Dhanukar Wadi,0.0
"Area Locality_Dheeraj Kiran CHS Walad West, Sunder Nagar",0.0
"Area Locality_Dheeraj Swapna Apartment, Pali Hill",0.0
"Area Locality_Dheeraj Valley Tower, Goregaon East",0.0
Area Locality_Dhobi Ghat- Rajajinagar,0.0
Area Locality_Dhulapally,0.0
Area Locality_Dilshad Colony,0.0
Area Locality_Dilshad Garden,0.0
"Area Locality_Dilsukh Nagar, NH 9",0.0
"Area Locality_Dinnur, Hebbal",0.0
"Area Locality_Dodda Banaswadi, Banaswadi",0.0
"Area Locality_Dodda Nekkundi Extension, Kartik Nagar, Outer Ring Road",0.0
Area Locality_Doddaballapur Road,0.0
Area Locality_Doddabanahalli,0.0
Area Locality_Doddabidarakallu,0.0
